"DMA_ID","DB_ID","DMA_NUMBER","DESCRIPTION","DMA_ABBREV","DMA_SHORT_NAME","PSEUDO_DMA_TYPE","ACTUAL_DMA_ID","SERVED_STATUS","CAMC_MARKET_ID","MPG_MARKET_ID","ACCOUNTS","A3_ONLY_FLAG","MPEG4_ONLY_FLAG","LILN_PSEUDO_TABLE_FLAG","INACTIVE_FLAG","SENT_TO_CAMC_FLAG","NOTES","LAST_MOD_DATE","IS_DELETED","BILLING_SYSTEM"
10,0,135,"Inactive","","","",104,3,0,,0,0,0,0,1,1,"",07/16/2014 09:44:32.526000000 PM,0,0
11,0,144,"Norfolk-Newport News VA - HD Only Locals","","","",113,4,0,,563,0,0,0,0,1,"",03/20/2017 10:48:33.465000000 PM,0,0
12,0,173,"Roanoke-Lynchburg VA - HD Only Locals","","","",139,4,0,,413,0,0,0,0,1,"",03/20/2017 10:48:53.376000000 PM,0,0
13,0,205,"Topeka KS - Fringe Locals","","","Special",157,5,0,,245,0,0,1,0,1,"",06/28/2013 07:26:20.990000000 PM,0,0
14,0,209,"St Louis MO - HD Only Locals","","","",159,4,0,,145,0,0,0,0,1,"",03/20/2017 10:49:14.898000000 PM,0,0
15,0,216,"Kansas City MO - HD Only Locals","","","",164,4,0,,25,0,0,0,0,1,"",03/20/2017 10:49:30.191000000 PM,0,0
16,0,222,"New Orleans LA - Fringe Locals","","","Special",168,5,0,,76,0,0,1,0,1,"",06/28/2016 08:50:25.135000000 PM,0,0
17,0,225,"Waco-Temple-Bryan TX - No HD Locals","","","",171,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
18,0,232,"Paducah KY-Cape Girardeau MO - HD Only Locals","","","",177,4,0,,18,0,0,1,0,1,"",06/22/2015 06:36:59.926000000 PM,0,0
19,0,235,"Austin TX - Fringe Locals","","","Special",180,5,0,,543,0,0,1,0,1,"",10/14/2014 07:12:32.482000000 PM,0,0
20,0,250,"Oklahoma City OK - No HD Locals","","","",193,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
21,0,259,"Nashville TN - No HD Locals","","","",199,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
22,0,276,"Duluth MN-Superior WI - No HD Locals","","","",207,1,0,,346,0,0,1,0,1,"",10/14/2014 07:12:05.456000000 PM,0,0
23,0,278,"Wichita-Hutchinson KS - HD Only Locals","","","",208,4,0,,222,0,0,0,0,1,"",03/20/2017 10:49:49.165000000 PM,0,0
24,0,287,"Unserved - Minot-Bismarck-Dickinson ND","","","",212,3,,,251,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
25,0,293,"Little Rock-Pine Bluff AR - HD Only Locals","","","",215,4,0,,275,0,0,0,0,1,"",03/20/2017 10:50:06.157000000 PM,0,0
26,0,303,"Unserved - Los Angeles CA","","","",262,3,,,40,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
27,0,309,"Tyler-Longview TX - Fringe Locals","","","Special",219,5,,,1825,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
28,0,312,"Reno NV - Fringe Locals","","","Special",266,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
29,0,318,"Jackson MS - HD Only Locals","","","",224,4,0,,2824,0,0,0,0,1,"",03/20/2017 10:50:23.649000000 PM,0,0
30,0,320,"Portland OR - Fringe Locals","","","Special",269,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
31,0,322,"Lincoln-Hastings NE - Fringe Locals","","","Special",225,5,,,468,0,1,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
32,0,324,"Fargo-Valley City ND - HD Only Locals","","","",226,4,0,,72,0,0,0,0,1,"",03/20/2017 10:50:41.139000000 PM,0,0
33,0,325,"Unserved - Sioux Falls SD","","","",227,3,0,,630,0,0,0,0,1,"",11/21/2013 10:11:21.397000000 PM,0,0
34,0,332,"Albany-Schenectady-Troy NY - No HD Locals","","","",101,1,0,,53,0,0,1,0,1,"",10/14/2014 07:13:00.376000000 PM,0,0
35,0,343,"Unserved - Anchorage AK","","","",232,3,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
36,0,344,"Unserved - Honolulu HI","","","",233,3,,,1,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
