"COUNTY_ID","DB_ID","STATE_ID","NAME","SIZE_CODE","ACCOUNTS","USPS_STATE_CODE"
704,0,15,"RANDOLPH",9,980,"157"
705,0,15,"RICHLAND",9,429,"159"
706,0,15,"ROCK ISLAND",7,5720,"161"
707,0,15,"SAINT CLAIR",6,12019,"163"
708,0,15,"SALINE",9,434,"165"
709,0,15,"SANGAMON",8,9021,"167"
710,0,15,"SCHUYLER",9,477,"169"
711,0,15,"SCOTT",9,1717,"171"
712,0,15,"SHELBY",9,1963,"173"
713,0,15,"STARK",9,99,"175"
714,0,15,"STEPHENSON",9,889,"177"
715,0,15,"TAZEWELL",7,2619,"179"
716,0,15,"UNION",9,680,"181"
717,0,15,"VERMILION",8,2832,"183"
718,0,15,"WABASH",9,107,"185"
719,0,15,"WARREN",9,1380,"187"
720,0,15,"WASHINGTON",9,1364,"189"
721,0,15,"WAYNE",9,553,"191"
722,0,15,"WHITE",9,455,"193"
723,0,15,"WHITESIDE",9,451,"195"
724,0,15,"WILL",6,24562,"197"
725,0,15,"WILLIAMSON",8,3929,"199"
726,0,15,"WINNEBAGO",7,5869,"201"
727,0,15,"WOODFORD",7,931,"203"
728,0,16,"VIP",0,18,"000"
729,0,16,"ADAMS",7,1054,"001"
730,0,16,"ALLEN",7,8101,"003"
731,0,16,"BARTHOLOMEW",8,2739,"005"
732,0,16,"BENTON",9,430,"007"
733,0,16,"BLACKFORD",9,2578,"009"
734,0,16,"BOONE",7,1540,"011"
735,0,16,"BROWN",9,2377,"013"
736,0,16,"CARROLL",9,1510,"015"
737,0,16,"CASS",9,261,"017"
738,0,16,"CLARK",7,6236,"019"
739,0,16,"CLAY",8,985,"021"
740,0,16,"CLINTON",8,2152,"023"
741,0,16,"CRAWFORD",9,1223,"025"
742,0,16,"DAVIESS",9,1074,"027"
743,0,16,"DEARBORN",7,1211,"029"
744,0,16,"DECATUR",9,386,"031"
745,0,16,"DE KALB",7,1615,"033"
746,0,16,"DELAWARE",8,5691,"035"
747,0,16,"DUBOIS",9,1709,"037"
748,0,16,"ELKHART",8,3924,"039"
749,0,16,"FAYETTE",9,70,"041"
750,0,16,"FLOYD",7,3289,"043"
751,0,16,"FOUNTAIN",9,1834,"045"
752,0,16,"FRANKLIN",9,2072,"047"
753,0,16,"FULTON",9,1063,"049"
754,0,16,"GIBSON",9,1271,"051"
755,0,16,"GRANT",8,2328,"053"
756,0,16,"GREENE",9,3091,"055"
1,0,2,"VIP",0,35,"000"
2,0,2,"AUTAUGA",8,718,"001"
3,0,2,"BALDWIN",7,16328,"003"
4,0,2,"BARBOUR",9,1069,"005"
5,0,2,"BIBB",9,1154,"007"
6,0,2,"BLOUNT",7,4505,"009"
7,0,2,"BULLOCK",9,1194,"011"
8,0,2,"BUTLER",9,238,"013"
9,0,2,"CALHOUN",8,6627,"015"
10,0,2,"CHAMBERS",9,1257,"017"
11,0,2,"CHEROKEE",9,1335,"019"
12,0,2,"CHILTON",9,5182,"021"
13,0,2,"CHOCTAW",9,836,"023"
14,0,2,"CLARKE",9,1118,"025"
15,0,2,"CLAY",9,1493,"027"
16,0,2,"CLEBURNE",9,1956,"029"
17,0,2,"COFFEE",9,2591,"031"
18,0,2,"COLBERT",8,4533,"033"
19,0,2,"CONECUH",9,3104,"035"
20,0,2,"COOSA",9,1107,"037"
21,0,2,"COVINGTON",9,1065,"039"
22,0,2,"CRENSHAW",9,325,"041"
23,0,2,"CULLMAN",8,5743,"043"
24,0,2,"DALE",8,3855,"045"
25,0,2,"DALLAS",9,813,"047"
26,0,2,"DE KALB",8,2837,"049"
27,0,2,"ELMORE",8,4253,"051"
28,0,2,"ESCAMBIA",9,371,"053"
29,0,2,"ETOWAH",8,4824,"055"
30,0,2,"FAYETTE",9,1545,"057"
31,0,2,"FRANKLIN",9,2527,"059"
32,0,2,"GENEVA",9,1884,"061"
33,0,2,"GREENE",9,727,"063"
34,0,2,"HALE",9,1449,"065"
35,0,2,"HENRY",9,552,"067"
36,0,2,"HOUSTON",8,1383,"069"
37,0,2,"JACKSON",9,2040,"071"
38,0,2,"JEFFERSON",7,30453,"073"
39,0,2,"LAMAR",9,1910,"075"
40,0,2,"LAUDERDALE",8,5366,"077"
41,0,2,"LAWRENCE",8,2044,"079"
42,0,2,"LEE",8,3682,"081"
43,0,2,"LIMESTONE",7,14786,"083"
44,0,2,"LOWNDES",9,644,"085"
45,0,2,"MACON",9,1838,"087"
46,0,2,"MADISON",7,9480,"089"
47,0,2,"MARENGO",9,1435,"091"
48,0,2,"MARION",9,1198,"093"
49,0,2,"MARSHALL",8,3261,"095"
50,0,2,"MOBILE",7,22332,"097"
51,0,2,"MONROE",9,1554,"099"
52,0,2,"MONTGOMERY",8,5987,"101"
53,0,2,"MORGAN",8,3234,"103"
54,0,2,"PERRY",9,1565,"105"
55,0,2,"PICKENS",9,1373,"107"
56,0,2,"PIKE",9,636,"109"
57,0,2,"RANDOLPH",9,1819,"111"
58,0,2,"RUSSELL",8,4332,"113"
59,0,2,"SAINT CLAIR",7,4269,"115"
60,0,2,"SHELBY",7,18201,"117"
61,0,2,"SUMTER",9,959,"119"
62,0,2,"TALLADEGA",8,5088,"121"
63,0,2,"TALLAPOOSA",9,1548,"123"
64,0,2,"TUSCALOOSA",8,10813,"125"
65,0,2,"WALKER",8,3215,"127"
66,0,2,"WASHINGTON",9,1520,"129"
67,0,2,"WILCOX",9,326,"131"
68,0,2,"WINSTON",9,2697,"133"
69,0,1,"VIP",0,0,"000"
70,0,1,"ALEUTIANS EAST",0,0,"013"
71,0,1,"ALEUTIANS WEST",0,0,"016"
72,0,1,"ANCHORAGE",8,5921,"020"
73,0,1,"DENALI BOROUGH",0,36,"025"
74,0,1,"BETHEL",0,2,"050"
75,0,1,"BRISTOL BAY",0,0,"060"
76,0,1,"DENALI",0,5,"068"
77,0,1,"DILLINGHAM",0,2,"070"
78,0,1,"FAIRBANKS NORTH STAR",8,2786,"090"
79,0,1,"HAINES",0,1,"100"
80,0,1,"HOONAH ANGOON",0,5,"105"
81,0,1,"JUNEAU",9,1272,"110"
82,0,1,"KENAI PENINSULA",9,2659,"122"
83,0,1,"KETCHIKAN GATEWAY",0,78,"130"
84,0,1,"KODIAK ISLAND",0,234,"150"
85,0,1,"LAKE AND PENINSULA",0,0,"164"
86,0,1,"MATANUSKA SUSITNA",9,2923,"170"
87,0,1,"NOME",0,0,"180"
88,0,1,"NORTH SLOPE",0,11,"185"
89,0,1,"NORTHWEST ARCTIC",0,2,"188"
90,0,1,"PETERSBURG",0,0,"195"
91,0,1,"PRINCE OF WALES HYDER",0,284,"198"
92,0,1,"PRINCE WALES KETCHIKAN",0,162,"201"
93,0,1,"SITKA",0,7,"220"
94,0,1,"SKAGWAY",0,0,"230"
95,0,1,"SKAGWAY YAKUTAT",0,168,"231"
96,0,1,"SKAGWAY HOONAH ANGOON",0,207,"232"
97,0,1,"SOUTHEAST FAIRBANKS",0,427,"240"
98,0,1,"VALDEZ CORDOVA",0,278,"261"
99,0,1,"WADE HAMPTON",0,0,"270"
100,0,1,"WRANGELL",0,97,"275"
101,0,1,"WRANGELL PETERSBURG",0,71,"280"
102,0,1,"YAKUTAT",0,92,"282"
103,0,1,"YUKON KOYUKUK",0,463,"290"
104,0,1,"COFFMAN COVE CITY",0,32,"448"
